	BG	CS	DA	DE	EL	EN	ES	ET	FI	FR	HU	IT	LT	LV	NL	PL	PT	RO	SK	SL	SV	GA	MT	Total_From
BG	0	103222	112977	107182	126695	135729	136143	87779	83417	134900	100318	122925	90842	94429	130629	103565	125893	82334	103689	101162	113422	0	0	2197252
CS	201295	0	434208	424211	429267	504253	509452	243343	314878	511024	276067	469530	249791	261754	505013	283151	485807	210993	277802	274670	433362	0	0	7299871
DA	64998	100844	0	646336	443280	772239	774330	86040	494889	784553	92698	719585	89213	91017	718338	98336	751662	68319	99874	95900	655181	0	0	7647632
DE	1013046	1490273	6190300	0	4798530	7155726	7095597	1289757	4529523	7210137	1407772	6644979	1304714	1369524	6755668	1477846	6961579	1067861	1485563	1420429	6078578	0	0	76747402
EL	235893	369465	1478113	1515597	0	1655280	1719757	317754	1055778	1745893	361484	1581411	329265	340325	1690357	369994	1661263	246111	369995	362843	1460874	0	0	18867452
EN	2293270	3204821	9280499	9264790	7609390	0	10710820	2775487	6750762	10836268	3059324	10027224	2820500	2956643	10590267	3193731	10527210	2379790	3218518	3086338	9206855	0	0	123792507
ES	387689	568536	2932074	2916792	2041894	3273030	0	490315	2120523	3324346	541969	3051089	497424	512172	3322644	553826	3169236	403271	561897	545899	2887019	0	0	34101645
ET	29872	51979	82084	79621	82517	98234	98730	0	60650	98243	50687	90658	45517	48078	93159	52038	97365	31677	52242	51450	83352	0	0	1378153
FI	105062	162845	853089	887067	674140	1001437	1071214	137792	0	1058445	153460	964255	142635	147405	962635	159537	1011308	111520	161090	152853	827385	0	0	10745174
FR	1032220	1563806	5917771	5725588	4696636	6676771	6570038	1367188	4206047	0	1517531	6139591	1390898	1444282	6607564	1559851	6311218	1071616	1565530	1514411	5724241	0	0	72602798
HU	121489	149241	247757	249264	239727	288781	297061	127947	186617	300712	0	274916	132023	137139	285286	149144	288722	122549	150168	141851	255357	0	0	4145751
IT	689814	846846	2952082	2875553	2221028	3228031	3247576	720868	2073049	3260571	794584	0	737156	772113	3217097	837824	3106012	702363	828549	803160	2818592	0	0	36732868
LT	236006	252037	321243	325990	352482	391910	398119	208329	241884	394454	227085	363297	0	224395	369324	246531	358047	237531	243106	223290	321015	0	0	5936075
LV	43502	52729	86949	86290	84138	106569	103663	44706	64560	104827	49962	95339	45569	0	100365	52634	99668	45057	52118	50363	87936	0	0	1456944
NL	293756	461891	2846688	2852712	2207748	3253216	3301383	400853	2074001	3384146	437471	3122954	408057	423636	0	460001	3313974	314822	461721	436635	2790097	0	0	33245762
PL	510586	807371	1257866	1225696	1263995	1505719	1512131	691079	928546	1499116	777742	1377918	706934	740299	1451211	0	1443839	532193	807381	781990	1272423	0	0	21094035
PT	808117	1017213	2525786	2543033	2097278	2948050	2980029	855797	1870430	2961918	959386	2756357	879803	917865	2932504	1001745	0	818297	991187	956789	2490677	0	0	35312261
RO	434294	520773	548389	542993	633192	680904	682029	429589	402935	657959	497836	615653	456764	468670	629014	510272	631908	0	510311	507255	553157	0	0	10913897
SK	133624	197963	287664	277367	299897	354771	345601	173220	213902	345269	194987	317936	176870	187689	330635	203479	329078	140330	0	193612	291448	0	0	4995342
SL	43301	134698	175909	179074	178545	201881	207046	114372	118101	199636	126875	182525	113972	123644	197509	132932	197101	45944	136186	0	175131	0	0	2984382
SV	217620	317175	1415553	1423031	1071169	1657298	1647874	271960	1060416	1752156	305104	1565778	277915	290089	1591271	316112	1611078	227314	319045	308498	0	0	0	17646456
GA	40479	57089	63310	63663	72434	78912	77148	47374	46436	76498	54171	70801	49547	51489	73534	55784	72961	43621	56818	53751	65143	0	0	1270963
MT	20159	28326	58832	56571	49652	67208	65536	25038	43478	66792	27414	61148	25281	26878	67353	28457	64165	21436	28657	27970	59907	0	0	920258
Total_Into	8956092	12459143	40069143	34268421	31673634	36035949	43551277	10906587	28940822	40707863	12013927	40615869	10970690	11629535	42621377	11846790	42619094	8924949	12481447	12091119	38651152	0	0	532034880
