	BG	CS	DA	DE	EL	EN	ES	ET	FI	FR	HU	IT	LT	LV	NL	PL	PT	RO	SK	SL	SV	Total_From
BG	0	72055	71022	71518	72055	72055	71690	71518	72055	71806	69948	72055	70493	72055	71144	72055	69643	71504	70985	68979	71806	1426441
CS	170868	0	266560	248995	270775	274172	268764	271494	266448	271182	266884	273598	269830	270116	267164	269711	268144	167552	270560	263360	270047	5166224
DA	60014	103841	0	627641	417567	639935	640337	104133	622161	640936	99823	642555	104333	102728	637107	103508	636298	60073	104230	99247	620587	7067054
DE	941119	1441168	5883803	0	4521378	5944065	5856747	1433556	5743192	5934955	1405901	5922767	1431406	1430761	5892506	1422395	5896917	927097	1435416	1378280	5775389	70618818
EL	241258	425117	993354	969554	0	1006805	1003660	426948	976530	1013988	419832	1011195	425696	424140	1002542	423768	1001289	238997	427528	418308	979568	13830077
EN	2394582	3757279	9814952	9539156	8000388	0	9844975	3780175	9627025	9962513	3649807	9974365	3726605	3719602	9891160	3698615	9919418	2344470	3736328	3628901	9736978	130747294
ES	411121	687911	3194409	3137593	2281775	3216202	0	679674	3126882	3220948	672211	3220641	684985	674825	3204405	677142	3199976	414924	685573	667826	3155901	37214924
ET	21268	42582	41873	38426	42323	43537	41704	0	41465	42362	41971	42531	41635	42083	42528	42060	43312	21165	42370	41560	43397	800152
FI	71026	122009	591501	580851	422690	592563	590371	121006	0	594175	118924	593008	121213	120693	592182	120322	589717	71396	120640	114047	591151	6839485
FR	1089976	1897053	6345183	6111332	5059386	6437012	6336907	1904230	6189443	0	1879094	6440652	1897915	1891983	6394191	1891493	6391286	1076784	1907708	1838861	6255346	79235835
HU	95924	133725	131908	124363	134279	135175	133168	134624	132051	135453	0	135453	133025	133320	132203	133620	132953	90629	134767	129147	134815	2580602
IT	699707	966548	2884866	2823249	2258046	2930594	2889600	962223	2807527	2926877	923221	0	944562	951758	2900601	953543	2890862	674227	945078	910386	2822401	37065876
LT	174657	215354	214169	204283	214996	215956	213789	213553	213794	216036	198532	216146	0	213065	211869	212049	200213	170113	209500	191788	215675	4135537
LV	32738	45550	44464	42133	45096	45796	45096	44995	44479	45550	44014	45550	45049	0	44324	45420	44350	32342	45233	43388	45538	871105
NL	285523	510004	3024298	2958444	2265242	3043748	3021003	510516	2899295	3058091	499478	3052517	511996	509649	0	509139	3045138	282581	512901	492480	2918739	33910782
PL	419315	750111	735140	669147	750515	753715	744138	748029	734302	750305	735013	754107	743176	751377	746641	0	740812	415881	750133	723305	745992	14161154
PT	804593	1154895	2667104	2588516	2127785	2714378	2666935	1156042	2634448	2706101	1133769	2704611	1133629	1156120	2661090	1157875	0	793210	1139643	1111453	2660272	36872469
RO	411263	418201	412894	412927	418201	422258	418631	414030	415709	414282	407805	418201	410305	416670	411524	418201	409023	0	411065	403729	414424	8279343
SK	111273	194958	190804	173018	195429	194743	193181	192578	193092	195264	189468	195825	191378	194139	192259	193862	192006	110712	0	185413	194423	3673825
SL	33859	130192	127026	126855	130093	130408	129039	129815	115234	124916	124784	124916	125087	130237	129782	129888	129110	33037	130237	0	130237	2364752
SV	197277	322220	1327885	1302112	942161	1350610	1328840	322088	1332066	1353420	316838	1342061	320965	320331	1341037	319803	1341918	195228	322614	314063	0	15913537
Total_Into	8667361	13390773	38963215	32750113	30570180	30163727	36438575	13621227	38187198	33679160	13197317	37182754	13333283	13525652	36766259	12794469	37142385	8191922	13402509	13024521	37782686	512775286
